unique_id,name,condition,length,total_delay_time,delay_time_per_vehicle,breaks_down,delay_time_Scenario_5_1,breaks_down_Scenario_5_1,delay_car_Scenario_5_1,delay_time_Scenario_5_2,breaks_down_Scenario_5_2,delay_car_Scenario_5_2,delay_time_Scenario_5_3,breaks_down_Scenario_5_3,delay_car_Scenario_5_3,delay_time_Scenario_5_4,breaks_down_Scenario_5_4,delay_car_Scenario_5_4,delay_time_Scenario_5_5,breaks_down_Scenario_5_5,delay_car_Scenario_5_5,delay_time_Scenario_5_6,breaks_down_Scenario_5_6,delay_car_Scenario_5_6,delay_time_Scenario_5_7,breaks_down_Scenario_5_7,delay_car_Scenario_5_7,delay_time_Scenario_5_8,breaks_down_Scenario_5_8,delay_car_Scenario_5_8,delay_time_Scenario_5_9,breaks_down_Scenario_5_9,delay_car_Scenario_5_9,delay_time_Scenario_5_10,breaks_down_Scenario_5_10,delay_car_Scenario_5_10
5,. id 5,A,0.0113,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
11,. id 11,A,0.0066,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
21,KANCHPUR PC GIRDER BRIDGE id 21,B,0.397,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
27,NOYAPARA CULVERT id 27,B,0.0063,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
29,NAYABARI KASPUR BOX CULVERT id 29,A,0.0083,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
34,NAYABARI BOX CULVERT id 34,B,0.0106,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
36,DAWAN BAG BOX CULVERT id 36,A,0.0060999999999999,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
38,Madanpur Bridge.(L) id 38,A,0.0275,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
41,KAWTALA BOX CULVERT id 41,A,0.0119,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
44,MALIBAG BOX CULVERT id 44,B,0.00555,0,0,False,61332.91212196629,True,18.357651039198696,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0
52,LANGOLBANDO PC GIDER BRIDGE id 52,C,0.1595,0,0,False,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,36647.95724835238,True,10.90713013343865,0.0,False,0.0,45107.73125977739,True,13.790196043954356,0.0,False,0.0
