Road,Name,LRP,Offset,Chainage,LRP_2,Offset_2,Chainage_2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),base_road,condition,lat,lon
,KHAS PARA BOX CULVERT,,,12.239,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6884123260204,90.5485585290816
,DAWAN BAG BOX CULVERT,,,12.253,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6883197331632,90.548649807653
,Madanpur Bridge.(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,N1,A,23.685583027027,90.551207981081
,MADAN PUR (R),,,12.66,,,,,,,,,,,,,,,,,,,,,,N1,A,23.685583027027,90.551207981081
,MADANPUR BRIDGE(L),,,12.66,,,,,,,,,,,,,,,,,,,,,,N1,A,23.685583027027,90.551207981081
,Madanpur Bridge(R),,,12.688,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6853619779342,90.5513591765258
,KAWTALA BOX CULVERT,,,13.574,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6778035,90.5558194349999
,MALIBAG BOX CULVERT,,,15.465,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6633090696149,90.563856994797
N1-7L,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411,15.935,LRP013,7520,20.044,4.109,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0,24589.0,N1,,,
N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,3411,15.935,LRP013,7520,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0,23879.0,N1,,,
,Langalbandh Bridge.,,,17.134,,,,,,,,,,,,,,,,,,,,,,N1,C,23.6544257051136,90.576730225
,LANGOLBANDO PC GIDER BRIDGE,,,17.134,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6544257051136,90.576730225
,Darikandi Bridge (R),,,17.222,,,,,,,,,,,,,,,,,,,,,,N1,A,23.65397226,90.57741042
,Darikandi Bridge (L),,,17.222,,,,,,,,,,,,,,,,,,,,,,N1,A,23.65397226,90.57741042
,DARIKANDI BRIDGE (R),,,17.722,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6515705663716,90.5814943946902
,DARIKANDI BRIDGE (L),,,17.722,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6515705663716,90.5814943946902
,Sonakhal Bridge(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6497543993548,90.5845490085483
,SONARKALI BRIDGE(L),,,18.093,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6497543993548,90.5845490085483
,Sonakhal Bridge(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6497543993548,90.5845490085483
,SONARKALI BRIDGE(R),,,18.093,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6497543993548,90.5845490085483
,MOLLIK PARA BRIDGE (R),,,18.742,,,,,,,,,,,,,,,,,,,,,,N1,C,23.6459685949152,90.5892119813559
,MOLLIK PARA P.C(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6459685949152,90.5892119813559
,Mollik para Bridge(R),,,18.742,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6459685949152,90.5892119813559
,Mollik para Bridge(L),,,18.742,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6459685949152,90.5892119813559
,KRIBORDI BOX CULVERT,,,19.76,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6379543715384,90.5936673976923
N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520,20.044,LRP022,1935,23.564,3.520,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,,,
N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),LRP013,7520,20.044,LRP022,1935,23.564,3.520,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,,,
,SHADIPUR BOX CULVERT,,,20.397,,,,,,,,,,,,,,,,,,,,,,N1,B,23.63380522,90.597394085
,Marikhali Bridge(L),,,21.184,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6284668507692,90.6023015723077
,Marikhali Bridge(R),,,21.184,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6284668507692,90.6023015723077
,MARIKHALL BRIDGE,,,21.184,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6284668507692,90.6023015723077
,SANGAKADI CULVERT,,,22.328,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6198832229508,90.6083528852459
,ASHIR CHAR (Right),,,22.596,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6176407964705,90.6095506105882
,ASHIR CHAR ( Left),,,22.596,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6176407964705,90.6095506105882
,Ashariarchar Bridge(L),,,22.596,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6176407964705,90.6095506105882
,Ashariarchar Bridge(R),,,22.596,,,,,,,,,,,,,,,,,,,,,,N1,B,23.6176407964705,90.6095506105882
,Asharirchar-2 Bridge.(R),,,23.081,,,,,,,,,,,,,,,,,,,,,,N1,A,23.613587384385,90.6109029561497
,Ashariachar-2 Bridge.(L),,,23.081,,,,,,,,,,,,,,,,,,,,,,N1,A,23.613587384385,90.6109029561497
,ASHARIR CHAR (L),,,23.081,,,,,,,,,,,,,,,,,,,,,,N1,A,23.613587384385,90.6109029561497
,ASHIR CHAR (R),,,23.081,,,,,,,,,,,,,,,,,,,,,,N1,B,23.613587384385,90.6109029561497
N1-9L,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935,23.564,LRP031,162,30.936,7.372,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,,,
N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),LRP022,1935,23.564,LRP031,162,30.936,7.372,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,,,
,Meghna Bridge,,,24.393,,,,,,,,,,,,,,,,,,,,,,N1,A,23.6027595885583,90.6155316965675
,MEGHNA BRIDGE,,,24.393,,,,,,,,,,,,,,,,,,,,,,N1,C,23.6027595885583,90.6155316965675
,TATULTALA CULVERT,,,26.115,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5929818827893,90.6279699370919
,BAILAKANDI CULVERT,,,26.452,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5908088547468,90.6302368598101
,MALUAKANDI CULVEDRT,,,27.12,,,,,,,,,,,,,,,,,,,,,,N1,A,23.58631812254,90.6345094207093
,Bhater char Bridge (L),,,28.315,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5779800248475,90.6419193089939
,Bhater char Bridge (R),,,28.315,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5779800248475,90.6419193089939
,BHATIR CHAR BRIDGE,,,28.315,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5779800248475,90.6419193089939
,Anarpara Bridge (L),,,29.138,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5716306256965,90.6454159236842
,Anarpara Bridge (R),,,29.138,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5716306256965,90.6454159236842
,ANARPUR BRIDGE(R),,,29.138,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5716306256965,90.6454159236842
,ANAR PURA BRIDGE(L),,,29.138,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5716306256965,90.6454159236842
,VITIKANDA - ANAR PUR CULVERT,,,29.842,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5660033956521,90.6486237247282
,Alipur bridge(R),,,30.908,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5591910296296,90.6557475703703
,Alipur bridge(L),,,30.908,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5591910296296,90.6557475703703
,ALI PURA P.C BRIDGE (RIGHT),,,30.908,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5591910296296,90.6557475703703
,ALIPURA BRIDGE (LEFT),,,30.908,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5591910296296,90.6557475703703
N1-10L,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162,30.936,LRP033,3664,36.271,5.335,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,,,
N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),LRP031,162,30.936,LRP033,3664,36.271,5.335,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,,,
,Bhaber char Bridge(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5557082901265,90.6597414245569
,Bhaber char Bridge(L),,,31.472,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5557082901265,90.6597414245569
,VOBAR CHAR (L),,,31.472,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5557082901265,90.6597414245569
,VOBAR CHAR BRIDGE(R),,,31.472,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5557082901265,90.6597414245569
,Baushia Bridge(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5517421907216,90.6643538752577
,Baushia Bridge(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5517421907216,90.6643538752577
,BOBARCHAR BRIDGE(L),,,32.121,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5517421907216,90.6643538752577
,BOBAIRCHAR BRIDGE(R),,,32.121,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5517421907216,90.6643538752577
,PURRANBUICHE BOX CULVERT,,,32.777,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5477377446428,90.6690554098214
,NOYAPARA,,,32.796,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5476246437499,90.669192065625
,Madhya Baushia Bridge(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,N1,A,23.54268543125,90.6748292125
,MADHAYA BAUSHIA BRIDGE(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,N1,A,23.54268543125,90.6748292125
,MADHAYA BAUSHIA(L),,,33.591,,,,,,,,,,,,,,,,,,,,,,N1,A,23.54268543125,90.6748292125
,Madhya Baushia Bridge(R),,,33.591,,,,,,,,,,,,,,,,,,,,,,N1,A,23.54268543125,90.6748292125
,BOCTAR KANDI BOX CULVERT,,,34.111,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5393910168,90.6784577888
,.,,,35.181,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5327751898617,90.6858701078341
,Baushia bazar Bridge( L ),,,35.408,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5313996605222,90.68744892596
,Baushia bazar Bridge ( R ),,,35.408,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5313996605222,90.68744892596
,BORAKANDI BRIDGE(L),,,35.408,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5313996605222,90.68744892596
,CHAR BOWSHIA BRIDGE(R),,,35.408,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5313996605222,90.68744892596
,CHAR BOUSHEA (2),,,35.707,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5301519626506,90.6897951837349
N1-11L,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664,36.271,LRP033,5859,38.466,2.195,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0,14822.0,N1,,,
N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),LRP033,3664,36.271,LRP033,5859,38.466,2.195,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0,14551.0,N1,,,
,Daudkandi Bridge.,,,37.01,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5303844733,90.7024402743
,Daud Kandi Bridge,,,37.01,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5303844733,90.7024402743
N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859,38.466,LRP043,3119,45.388,6.922,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,,,
N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),LRP033,5859,38.466,LRP043,3119,45.388,6.922,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,,,
,Baldhakhal Bridge,,,39.304,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5324186,90.7242807234
,BALDHA KHAL RCC GIDER BRIDGE,,,39.304,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5324186,90.7242807234
,MAIS PARA BOX CULVERT,,,39.86,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5317587831999,90.7291780095
,SHAHID NAGIR,,,42.936,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5298050611,90.75825325
,Shahid Nagor Bridge,,,42.936,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5298050611,90.75825325
,SARKAR BARI CULVERT,,,45.164,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5307655282208,90.7800797251533
N1-13L,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119,45.388,LRP043,4955,47.224,1.836,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,,,
N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,3119,45.388,LRP043,4955,47.224,1.836,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,,,
,AMIRABATH SLAB CULVERT,,,46.871,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5308683409424,90.7918075171727
N1-14L,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955,47.224,LRP043,13208,55.477,8.253,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,,,
N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,4955,47.224,LRP043,13208,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,,,
,Ginlatoly bridge,,,48.384,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5318234765,90.8110155135
,Ginlatoly,,,48.384,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5318234765,90.8110155135
,RAIPUR BOX CULVERT,,,50.558,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5329743291,90.8309774761999
,AITAL BANGA BOX CULVERT,,,52.313,,,,,,,,,,,,,,,,,,,,,,N1,C,23.5229166652,90.8442186132
N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208,55.477,LRP043,20009,62.278,6.801,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,,,
N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,13208,55.477,LRP043,20009,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,,,
,Illiot bazar Bridge,,,56.006,,,,,,,,,,,,,,,,,,,,,,N1,C,23.510087758207,90.8757204035353
,ILLIOT BAZER,,,56.006,,,,,,,,,,,,,,,,,,,,,,N1,B,23.510087758207,90.8757204035353
,KHAT GHOR BOX CULVERT,,,58.838,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5060024341,90.9021745389
,BAKRA BOX CULVERT,,,60.83,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5056131416,90.9214660218
N1-16L,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009,62.278,LRP067,3912,69.638,7.360,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0,11681.0,N1,,,
N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),LRP043,20009,62.278,LRP067,3912,69.638,7.360,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0,11583.0,N1,,,
,MATIA BAZER,,,63.098,,,,,,,,,,,,,,,,,,,,,,N1,B,23.5024077848,90.9432418928
,SONAPUR BOX CULVERT,,,63.538,,,,,,,,,,,,,,,,,,,,,,N1,A,23.5013551924,90.9473844088999
,KARON KHAL SLAB CULVERT,,,66.178,,,,,,,,,,,,,,,,,,,,,,N1,B,23.495896314,90.9715772516
,MILL GHAT BOX CULVERT,,,68.04,,,,,,,,,,,,,,,,,,,,,,N1,A,23.4932728146,90.9887200416
N1-17L,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Left),LRP067,3912,69.638,LRP076,1760,75.589,5.951,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,,,
N1-17R,Chandina Z1022 - Nimsar (Int.with Z1219 & Z1028) (Right),LRP067,3912,69.638,LRP076,1760,75.589,5.951,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,,,
,CHANDINA- SHAHA PARA RCC GIDER GRIDGE,,,71.156,,,,,,,,,,,,,,,,,,,,,,N1,C,23.4868805937254,91.017566692647
,Chandinan-Shahapara Bridge.,,,71.156,,,,,,,,,,,,,,,,,,,,,,N1,C,23.4868805937254,91.017566692647
,CORI PAI BOX CULVERT,,,74.279,,,,,,,,,,,,,,,,,,,,,,N1,B,23.4817873233065,91.0463348850746
,COREPAI BOX CULVERT,,,75.312,,,,,,,,,,,,,,,,,,,,,,N1,B,23.4817498298684,91.0563549686842
N1-18L,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760,75.589,LRP076,8017,81.846,6.257,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,,,
N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),LRP076,1760,75.589,LRP076,8017,81.846,6.257,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,,,
,NIMSHAR SLAB CULVERT,,,76.481,,,,,,,,,,,,,,,,,,,,,,N1,A,23.480613086,91.0674097692
,KABILA DUBARCHAR SLAB CULVERT,,,78.382,,,,,,,,,,,,,,,,,,,,,,N1,C,23.4776722851,91.0847406393
,NAZIRA BOX CULVERT,,,80.949,,,,,,,,,,,,,,,,,,,,,,N1,B,23.4781159049382,91.1070332074074
N1-19L,Mainamati N102- Int.with Z1029 (Left),LRP076,8017,81.846,LRP076,12068,85.897,4.051,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,,,
N1-19R,Mainamati N102- Int.with Z1029 (Right),LRP076,8017,81.846,LRP076,12068,85.897,4.051,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,,,
,TIPRA BAZAR BOX CULVERT,,,82.437,,,,,,,,,,,,,,,,,,,,,,N1,A,23.4794083880733,91.1238920825688
,AMTOLI SLAB CULVERT,,,82.989,,,,,,,,,,,,,,,,,,,,,,N1,A,23.479544924,91.129047144
N1-20L,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068,85.897,LRP076,13537,87.366,1.469,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0,14002.0,N1,,,
N1-20R,Int.with Z1029 - Int.with Z1052 (Right),LRP076,12068,85.897,LRP076,13537,87.366,1.469,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0,14213.0,N1,,,
N1-21L,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537,87.366,LRP091,897,89.41,2.044,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,,,
N1-21R,Int.with Z1052 - Changani (Kotbari) (Right),LRP076,13537,87.366,LRP091,897,89.41,2.044,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,,,
,DHANPUR RCC GIDER BRIDGE,,,87.713,,,,,,,,,,,,,,,,,,,,,,N1,A,23.4436339598272,91.1493668151188
,Dhanpur Bridge,,,87.713,,,,,,,,,,,,,,,,,,,,,,N1,C,23.4436339598272,91.1493668151188
N1-22L,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897,89.41,LRP093,1090,91.583,2.173,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0,12042.0,N1,,,
N1-22R,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),LRP091,897,89.41,LRP093,1090,91.583,2.173,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0,11956.0,N1,,,
,Paduar Bazar Bridge,,,91.092,,,,,,,,,,,,,,,,,,,,,,N1,C,23.4212487704918,91.1678943372365
,PADUAR BAZER RCCGIDER,,,91.092,,,,,,,,,,,,,,,,,,,,,,N1,B,23.4212487704918,91.1678943372365
